Month:Day:Hr:Min:Sec:MSec,Packet number,Element 1, Element 2, Element 3, Element 4
9:30:16:0:22:752,1399,0.2517136,0.7165659,-0.6420406,-0.1046772
9:30:16:0:22:811,1406,0.2516562,0.716332,-0.642294,-0.1048618
9:30:16:0:22:930,1420,0.2515916,0.7160167,-0.6426511,-0.1049824
9:30:16:0:22:989,1427,0.2515818,0.7158059,-0.6428704,-0.1051004
9:30:16:0:23:49,1434,0.2515369,0.7155465,-0.6431556,-0.1052292
9:30:16:0:23:108,1442,0.2514684,0.715159,-0.6435638,-0.1055313
9:30:16:0:23:167,1449,0.2514602,0.7149526,-0.6437869,-0.1055889
9:30:16:0:23:226,1456,0.2514057,0.7149103,-0.6438648,-0.1055306
9:30:16:0:23:285,1462,0.2514068,0.7146692,-0.6441117,-0.1056531
9:30:16:0:23:345,1470,0.2513419,0.7145362,-0.644285,-0.1056515
9:30:16:0:23:405,1477,0.2513408,0.7142278,-0.6445872,-0.1058952
9:30:16:0:23:473,1485,0.2513456,0.7140584,-0.6447827,-0.1058362
9:30:16:0:23:532,1493,0.2513489,0.7140676,-0.644791,-0.1057155
9:30:16:0:23:592,1499,0.2512817,0.7138672,-0.6450195,-0.105835
9:30:16:0:23:651,1506,0.251285,0.7138764,-0.6450278,-0.1057143
9:30:16:0:23:710,1514,0.2512766,0.7136695,-0.6452505,-0.1057718
9:30:16:0:23:769,1521,0.2512297,0.7134044,-0.6455309,-0.1059608
9:30:16:0:23:829,1528,0.2511624,0.7132037,-0.6457591,-0.1060803
9:30:16:0:23:888,1536,0.251154,0.7129966,-0.6459816,-0.1061377
9:30:16:0:23:947,1543,0.2510973,0.7128867,-0.6461146,-0.1062006
9:30:16:0:24:7,1550,0.2511074,0.7126102,-0.6463848,-0.106388
9:30:16:0:24:66,1557,0.25104,0.7124093,-0.6466128,-0.1065074
9:30:16:0:24:125,1565,0.2510408,0.7121673,-0.6468588,-0.1066298
9:30:16:0:24:184,1572,0.2510329,0.7120228,-0.6470216,-0.1066264
9:30:16:0:24:244,1579,0.250987,0.7118825,-0.6471826,-0.1066939
9:30:16:0:24:303,1587,0.2509761,0.7116075,-0.6474597,-0.1068724
9:30:16:0:24:372,1595,0.2509668,0.7113371,-0.647741,-0.1069905
9:30:16:0:24:431,1602,0.2509767,0.7110598,-0.6480105,-0.1071778
9:30:16:0:24:491,1610,0.25092,0.7108281,-0.648266,-0.1073017
9:30:16:0:24:550,1617,0.2508562,0.7108202,-0.6483198,-0.1071785
9:30:16:0:24:609,1624,0.2508551,0.710573,-0.6485611,-0.1073611
9:30:16:0:24:669,1629,0.2508563,0.7103932,-0.6487473,-0.1074226
9:30:16:0:24:728,1637,0.2508033,0.710355,-0.6488292,-0.107304
9:30:16:0:24:787,1644,0.250847,0.7100008,-0.6491506,-0.1076018
9:30:16:0:24:846,1651,0.2508025,0.7098646,-0.6493155,-0.1076089
9:30:16:0:24:906,1659,0.2507952,0.7097827,-0.6494185,-0.1075447
9:30:16:0:24:965,1664,0.2507391,0.7096136,-0.6496145,-0.1076078
9:30:16:0:25:24,1671,0.2507271,0.7092746,-0.6499497,-0.1078468
9:30:16:0:25:84,1678,0.2507383,0.709001,-0.6502228,-0.1079737
9:30:16:0:25:153,1687,0.2506722,0.7088035,-0.6504537,-0.1080326
9:30:16:0:25:212,1694,0.2506739,0.7086865,-0.6505804,-0.1080333
9:30:16:0:25:271,1701,0.250675,0.7085062,-0.6507661,-0.1080948
9:30:16:0:25:331,1709,0.2506684,0.7083657,-0.6509323,-0.108031
9:30:16:0:25:390,1714,0.2506106,0.7081915,-0.6511235,-0.1081544
9:30:16:0:25:449,1721,0.2506199,0.7079127,-0.651392,-0.1083415
9:30:16:0:25:508,1729,0.2505512,0.7076468,-0.6516772,-0.1085213
9:30:16:0:25:568,1736,0.2505488,0.7073349,-0.6519762,-0.1087644
9:30:16:0:25:627,1743,0.2504941,0.7071698,-0.6521758,-0.1087672
9:30:16:0:25:686,1748,0.250495,0.706989,-0.6523612,-0.1088286
9:30:16:0:25:745,1755,0.2503672,0.7066068,-0.6527736,-0.1091313
9:30:16:0:25:805,1762,0.2503025,0.7065355,-0.6528862,-0.1090687
9:30:16:0:25:864,1769,0.2503042,0.706418,-0.6530125,-0.1090694
9:30:16:0:25:923,1777,0.2502443,0.705994,-0.6534427,-0.1093751
9:30:16:0:25:993,1785,0.2502475,0.7058812,-0.6535733,-0.1093154
9:30:16:0:26:52,1792,0.2501819,0.7057462,-0.6537445,-0.1093135
9:30:16:0:26:111,1800,0.2501852,0.7056333,-0.6538751,-0.1092538
9:30:16:0:26:170,1807,0.2501287,0.7054629,-0.65407,-0.1093168
9:30:16:0:26:230,1814,0.2500605,0.7052596,-0.6542954,-0.1094358
9:30:16:0:26:289,1822,0.2499974,0.7051928,-0.6544121,-0.1093128
9:30:16:0:26:349,1829,0.2499989,0.7050751,-0.6545382,-0.1093135
9:30:16:0:26:408,1836,0.2500005,0.7049574,-0.6546643,-0.1093142
9:30:16:0:26:467,1842,0.2499457,0.7049139,-0.6547417,-0.1092559
9:30:16:0:26:526,1850,0.24988,0.7047787,-0.6549126,-0.1092538
9:30:16:0:26:585,1857,0.2498824,0.7047246,-0.65498,-0.1091939
9:30:16:0:26:645,1864,0.2498123,0.7043937,-0.6553224,-0.109434
9:30:16:0:26:704,1872,0.2498184,0.7040447,-0.6556436,-0.1097419
9:30:16:0:26:773,1880,0.2498189,0.7038631,-0.6558281,-0.1098031
9:30:16:0:26:832,1887,0.2497541,0.7037914,-0.6559402,-0.1097404
9:30:16:0:26:892,1895,0.2497653,0.7035789,-0.6561528,-0.1098064
9:30:16:0:26:951,1902,0.2497558,0.703369,-0.6563719,-0.1098633
9:30:16:0:27:10,1909,0.2496964,0.7031295,-0.6566204,-0.1100471
9:30:16:0:27:69,1914,0.2496279,0.7029254,-0.6568449,-0.1101659
9:30:16:0:27:129,1922,0.2495808,0.7026595,-0.6571258,-0.1102941
9:30:16:0:27:188,1929,0.249513,0.7023962,-0.657413,-0.1104132
9:30:16:0:27:247,1936,0.2495134,0.7022141,-0.6575971,-0.1104744
9:30:16:0:27:307,1944,0.2494571,0.7019835,-0.657854,-0.1105375
9:30:16:0:27:366,1951,0.2493922,0.7019116,-0.6579658,-0.1104748
9:30:16:0:27:425,1958,0.2493909,0.7017246,-0.6581453,-0.1105962
9:30:16:0:27:484,1965,0.2493895,0.7015376,-0.6583247,-0.1107177
9:30:16:0:27:544,1972,0.2493311,0.7011788,-0.658698,-0.110902
9:30:16:0:27:613,1980,0.2492661,0.7011068,-0.6588097,-0.1108392
9:30:16:0:27:672,1987,0.2492685,0.7010524,-0.6588769,-0.1107792
9:30:16:0:27:731,1995,0.2492094,0.7007526,-0.6591871,-0.1109632
9:30:16:0:27:791,2002,0.2491502,0.7004526,-0.6594973,-0.1111471
9:30:16:0:27:850,2009,0.2490831,0.7002524,-0.6597253,-0.1112054
9:30:16:0:27:909,2017,0.2490922,0.7000338,-0.6599326,-0.1113316
9:30:16:0:27:969,2024,0.2490212,0.6997006,-0.6602722,-0.1115712
9:30:16:0:28:28,2031,0.2490212,0.6995177,-0.6604556,-0.1116323
9:30:16:0:28:87,2038,0.2489719,0.6992453,-0.6607307,-0.1118207
9:30:16:0:28:146,2046,0.248963,0.6990983,-0.6608902,-0.1118167
9:30:16:0:28:206,2053,0.2489642,0.6989795,-0.6610154,-0.1118172
9:30:16:0:28:265,2060,0.2488969,0.6987789,-0.661243,-0.1118754
9:30:16:0:28:324,2068,0.2488362,0.6984137,-0.6616101,-0.1121197
9:30:16:0:28:383,2075,0.2487884,0.6981456,-0.6618894,-0.1122478
9:30:16:0:28:453,2083,0.2487794,0.6979984,-0.6620486,-0.1122437
9:30:16:0:28:512,2091,0.2487097,0.6976689,-0.6623917,-0.1124229
9:30:16:0:28:571,2098,0.2486624,0.6975242,-0.6625504,-0.1124901
9:30:16:0:28:630,2105,0.2486038,0.697287,-0.6628011,-0.1126133
9:30:16:0:28:690,2113,0.248596,0.697204,-0.6629023,-0.1125487
9:30:16:0:28:750,2120,0.2485362,0.6969022,-0.6632107,-0.1127324
9:30:16:0:28:808,2127,0.2485348,0.6966542,-0.6634511,-0.1128538
9:30:16:0:28:867,2134,0.2484684,0.6965173,-0.6636201,-0.1128514
9:30:16:0:28:927,2142,0.2484173,0.6961789,-0.6639518,-0.1131001
9:30:16:0:28:986,2149,0.2484196,0.6961241,-0.6640188,-0.1130401
9:30:16:0:29:45,2156,0.2484117,0.696041,-0.6641198,-0.1129754
9:30:16:0:29:105,2164,0.2483483,0.6959733,-0.6642355,-0.1128523
9:30:16:0:29:164,2171,0.2483556,0.6956886,-0.6644992,-0.1130387
9:30:16:0:29:233,2179,0.248298,0.6955152,-0.6646916,-0.1131013
9:30:16:0:29:293,2187,0.2482291,0.6952489,-0.6649756,-0.1132198
9:30:16:0:29:352,2194,0.24823,0.6951294,-0.6651001,-0.1132202
9:30:16:0:29:401,2200,0.2481635,0.6949922,-0.6652687,-0.1132177
9:30:16:0:29:470,2208,0.2481737,0.6947765,-0.6654791,-0.1132834
9:30:16:0:29:529,2216,0.2481658,0.6946933,-0.6655799,-0.1132188
9:30:16:0:29:589,2223,0.248113,0.6942892,-0.6659683,-0.1135277
9:30:16:0:29:648,2232,0.2481064,0.6942706,-0.6660115,-0.1134026
9:30:16:0:29:707,2240,0.2480543,0.6942955,-0.6660354,-0.1132236
9:30:16:0:29:767,2247,0.248042,0.6940781,-0.6662467,-0.1133401
9:30:16:0:29:826,2254,0.2479918,0.6938032,-0.6665198,-0.1135281
9:30:16:0:29:885,2261,0.2479926,0.6936834,-0.6666441,-0.1135285
9:30:16:0:29:944,2268,0.2479243,0.693541,-0.6668077,-0.1135862
9:30:16:0:30:4,2275,0.2479294,0.6935555,-0.6668215,-0.1134054
9:30:16:0:30:73,2283,0.2479289,0.6933709,-0.6670033,-0.1134662
9:30:16:0:30:132,2291,0.2478624,0.6932333,-0.6671715,-0.1134637
9:30:16:0:30:191,2298,0.2478614,0.6931086,-0.667291,-0.1135243
9:30:16:0:30:251,2305,0.2478062,0.693064,-0.6673678,-0.113466
9:30:16:0:30:310,2313,0.2477952,0.6929111,-0.6675212,-0.1135219
9:30:16:0:30:369,2320,0.2477431,0.6929359,-0.6675451,-0.1133429
9:30:16:0:30:428,2327,0.2477455,0.6928208,-0.6676739,-0.113283
9:30:16:0:30:488,2334,0.2477459,0.6927608,-0.667736,-0.1132832
9:30:16:0:30:547,2342,0.2476789,0.692683,-0.6678419,-0.1132804
9:30:16:0:30:607,2349,0.2476766,0.6924935,-0.6680188,-0.1134015
9:30:16:0:30:666,2356,0.24768,0.6925031,-0.6680281,-0.113281
9:30:16:0:30:725,2364,0.247613,0.6924254,-0.668134,-0.1132782
